Module,Connector,Pin,Module Pin,Wire Color,Goes To,Source Pin,Goes To Pin,Function / Role,Confidence,Notes,Source PDF Pages
ECM,A,33,A:33,P-W,8/9,2,8/9:2,Injector cyl 4 drive,HIGH,,47
ECM,A,34,A:34,BN-W,8/7,2,8/7:2,Injector cyl 2 drive,HIGH,"BN-W reused, OK",47
ECM,A,35,A:35,GN,6/120,4,6/120:4,Throttle body (ETB) position sensor supply 5V,HIGH,,47
ECM,A,36,A:36,BL-R,6/120,1,6/120:1,Throttle body (ETB) motor drive +,HIGH,,47
ECM,A,38,A:38,BL-W,8/28,1,8/28:1,Turbocharger control valve drive,HIGH,,47
ECM,A,39,A:39,VO-W,53/332,,53/332,Sensor 5V supply junction,HIGH,shared 5V to multiple sensors,47
ECM,A,40,A:40,BL-W,7/35,1,7/35:1,Oil Quality/Level/Temp (QLT) sensor LIN data,HIGH,dashed line = LIN bus,47
ECM,A,41,A:41,GN-SB,7/15,1,7/15:1,O2 sensor 1 signal ref (twisted w/ A:42),HIGH,,56
ECM,A,42,A:42,Y,7/15,5,7/15:5,O2 sensor 1 signal (twisted w/ A:41),HIGH,,56
ECM,A,45,A:45,BN,7/23,1,7/23:1,Rear knock sensor (via 54/53:3),HIGH,,47
ECM,A,46,A:46,BN-SB,7/24,1,7/24:1,Front knock sensor (via 54/53:1),HIGH,,47
ECM,A,47,A:47,BL,7/172,3,7/172:3,Cam sensor 1 signal,HIGH,TURBO,56
ECM,A,48,A:48,R,7/25,1,7/25:1,Crankshaft Position (CKP) sensor signal +,HIGH,,47
ECM,A,50,A:50,Y,20/5,1,20/5:1,Ignition coil cyl 3 trigger,HIGH,user-confirmed; 53/328 is +12V supply to all coil pin 4 (not a shield),47
ECM,A,51,A:51,VO,20/7,1,20/7:1,Ignition coil cyl 5 trigger,HIGH,,47
ECM,A,52,A:52,P,20/6,1,20/6:1,Ignition coil cyl 4 trigger,HIGH,,47
ECM,A,53,A:53,SB,53/326,,53/326,Ground via 53/326 → 31/96,HIGH,,47
ECM,A,54,A:54,SB,53/326,,53/326,Ground via 53/326 → 31/96,HIGH,,47
ECM,A,58,A:58,VO,7/17,5,7/17:5,Mass Air Flow (MAF) sensor signal,HIGH,"twisted bundle w/ 7/17 pins 3,4,5; user-confirmed",47
ECM,A,59,A:59,W,6/120,3,6/120:3,Throttle body (ETB) position sensor 1 signal,HIGH,,47
ECM,A,60,A:60,BN-SB,53/319,,53/319,Sensor ground junction,HIGH,"shared by 7/16, 7/165, 7/8, others",47
ECM,A,61,A:61,SB,7/82,4,7/82:4,O2 sensor 2 heater drive,HIGH,twisted with A:62,56
ECM,A,62,A:62,GR,7/82,3,7/82:3,O2 sensor 2 ground/heater common,HIGH,twisted with A:61,56
ECM,A,63,A:63,SB,53/326,,53/326,Ground via 53/326 → 31/96,HIGH,,47
ECM,A,64,A:64,SB,7/24,2,7/24:2,Front knock sensor (via 54/53:2),HIGH,,47
ECM,A,65,A:65,SB,7/172,2,7/172:2,Cam sensor 1 ground (via 53/376),HIGH,TURBO; 53/376 is shared ground w/ 7/173:2,56
ECM,A,66,A:66,W,7/25,2,7/25:2,Crankshaft Position (CKP) sensor signal -,HIGH,,47
ECM,A,67,A:67,Y-SB,7/23,2,7/23:2,Rear knock sensor (via 54/53:4),HIGH,,47
ECM,A,68,A:68,BN-P,7/8,3,7/8:3,Oil pressure signal,HIGH,,47
ECM,B,1,B:1,GN-W,54/36,1,54/36:1,CAN HISPEED (twisted w/ B:13),HIGH,user-confirmed; CAN hi-speed signal,"40, 48"
ECM,B,4,B:4,BN,7/123 (MAN only) / unused (AUTO),4,7/123 (MAN only) / unused (AUTO):4,Clutch sensor signal (MAN swap wiring),HIGH,user-confirmed: AUTO has NO connection here. For MAN swap: run BN from B:4 + SB from B:15 to clutch sensor 7/123 in cabin. 53/324 is fabricated junction.,48
ECM,B,5,B:5,GR-R,7/51,4,7/51:4,Accelerator pedal 7/51 pin 4,HIGH,user note: just routes to pedal connector pin 4,48
ECM,B,7,B:7,BL-SB,6/67,1,6/67:1,"Fuel leakage pump ground (via 54/3.2:4, 54/34:4)",HIGH,,56
ECM,B,9,B:9,GR-W,7/51,6,7/51:6,Accelerator pedal sensor 1 supply,HIGH,,48
ECM,B,11,B:11,R,3/1,X,3/1:X,Keyed +15 (ignition switch),HIGH,Arrow B on page 47; from ignition switch pin X via 15/31,48
ECM,B,13,B:13,GN,54/36,2,54/36:2,CAN LOSPEED (twisted w/ B:1),HIGH,user-confirmed; CAN lo-speed signal,"40, 48"
ECM,B,15,B:15,SB,7/123,2,7/123:2,Clutch pedal sensor signal (MAN swap only),HIGH,user-confirmed: AUTO has NO connection; MAN swap requires running this SB wire to 7/123:2 in cabin,48
ECM,B,17,B:17,BN-SB,7/51,5,7/51:5,Accelerator pedal sensor 1 ground,HIGH,,48
ECM,B,23,B:23,GN-R,4/56,C:5,4/56:C:5,CEM connection (signal),HIGH,,48
ECM,B,25,B:25,BL-W,7/51,2,7/51:2,Accelerator pedal sensor 2 signal,HIGH,,48
ECM,B,26,B:26,Y-GR,4/56,C:35,4/56:C:35,CEM connection (signal),HIGH,,48
ECM,B,29,B:29,OR-W,unused on AUTO,,unused on AUTO,Unused on AUTO transmission,HIGH,user-confirmed: 53/324 does not exist on AUTO; B:29 is unused for S60R AUTO,48
ECM,B,34,B:34,GN-R,6/67,4,6/67:4,"Fuel leakage pump power (via 54/3.2:2, 54/34:1)",HIGH,dashed line; via GN-GR through 54/3.2,56
ECM,B,37,B:37,BL-R,4/56,C:14,4/56:C:14,CEM connection (signal),HIGH,,48
ECM,B,38,B:38,Y-W,2/32,87,2/32:87,Main +30 power (via FMA2 / 15/31),HIGH,Arrow A on page 47; +30 supply from engine relay,48
ECM,B,40,B:40,GN,6/67,2,6/67:2,"Fuel leakage pump drive (via 54/3.2:3, 54/34:2)",HIGH,,56
ECM,B,44,B:44,GN-W,15/31_C5,11,15/31_C5:11,Engine compartment dist box,HIGH,,48
ECM,B,46,B:46,GR,5/1,2,5/1:2,Tach/RPM signal to Driver Info Module (DIM) (via 54/3.1 pin 18),HIGH,,48
ECM,B,47,B:47,Y,54/3.1,6,54/3.1:6,S60R-specific via inline connector 54/3.1,HIGH,"dashed line, S60R marking",48
ECM,B,48,B:48,SB,6/44,,6/44,ECM/TCM cooling fan control,HIGH,user-confirmed: 6/44 = cooling fan electrics box (engine compartment). Dashed line in diagram.,48
TCM,A,35,A:35,VO-W,4/56,B:20,4/56:B:20,"CEM B:20 (F21 fuse, AUTO trans control)",HIGH,matches CEM B:20,102
TCM,A,53,A:53,SB,53/303,,53/303,Chassis ground via 53/303 → 31/94,HIGH,,102
TCM,A,54,A:54,BL-SB,3/156,A:6,3/156:A:6,Gear Selector Module (GSM) (Gear Selector) pin A:6 via 54/3.1:26,HIGH,,102
TCM,B,1,B:1,,HISPEED CAN backbone,,HISPEED CAN backbone,HISPEED CAN (MAN trans — NOT S60R),HIGH,MAN-only path (dashed); not used on S60R AUTO,40
TCM,B,2,B:2,W,HISPEED CAN backbone,,HISPEED CAN backbone,HISPEED CAN HI (AUTO trans),HIGH,AUTO path (solid lines); applies to S60R AW55-50SN,40
TCM,B,13,B:13,,HISPEED CAN backbone,,HISPEED CAN backbone,HISPEED CAN (MAN trans — NOT S60R),HIGH,MAN-only path,40
TCM,B,14,B:14,GN,HISPEED CAN backbone,,HISPEED CAN backbone,HISPEED CAN LO (AUTO trans),HIGH,AUTO path,40
TCM,B,21,B:21,GN-SB,3/156 GSM,A:2,3/156 GSM:A:2,LIN bus to Gear Selector Module (AUTO),HIGH,via 54/3.1:5; AUTO trans only,42
CEM,A,4,A:4,Y-R,4/58A,13,4/58A:13,REM connection (F16 fuse),HIGH,,36
CEM,A,6,A:6,VO,16/1A AUM,2,16/1A AUM:2,Audio module amplifier supply (F28),HIGH,Confirmed by both page 37 (CEM 2:2) and Audio page (PDF 92). Brake lights page (PDF 66) shows A:6 with Y-R from 10/19:1 — likely a Volvo manual misprint; should probably be A:5 or A:7. Verify on harness.,"36, 37"
CEM,A,8,A:8,BL-R,6/62 + 6/63,4,6/62 + 6/63:4,L+R door mirror common feed,HIGH,F30 fuse; via 54/10:2 + 54/11:2 (dashed paths),37
CEM,A,10,A:10,VO-W,53/437,,53/437,F10 output (to junction 53/437),HIGH,,37
CEM,A,12,A:12,GN-W,4/58A,21,4/58A:21,REM connection,HIGH,,36
CEM,A,15,A:15,GN-Y,4/58A,18,4/58A:18,REM connection,HIGH,,36
CEM,A,16,A:16,BL,54/36,5,54/36:5,Inline connector 54/36 pin 5,HIGH,,37
CEM,A,17,A:17,VO,9/1/9/25A,,9/1/9/25A,12V outlet power output (F11),HIGH,feeds 9/1:1 (front 12V) AND 9/25A:1 (rear 12V),36
CEM,A,18,A:18,BL,9/13,4,9/13:4,Right seat warmer pin 4,HIGH,F1 fuse; via 54/25:2,37
CEM,A,19,A:19,BL,9/12,4,9/12:4,Left seat heater pin 4,HIGH,F2 fuse; via 54/24:2,37
CEM,A,22,A:22,VO,3/27,3,3/27:3,Power passenger seat module pin 3,HIGH,F28 fuse; LHD path via 54/25:14,37
CEM,A,25,A:25,VO-W,3/156A,1,3/156A:1,Gear Selector Module pin A1,HIGH,F21 fuse; S60R AUTO,37
CEM,A,29,A:29,GN,4/58A,20,4/58A:20,REM connection,HIGH,,36
CEM,B,1,B:1,GN-GR,8/84,1,8/84:1,Vacuum pump switch pin 1,HIGH,F33 fuse,37
CEM,B,2,B:2,BL,15/31_C4,3,15/31_C4:3,CEM power feed,HIGH,,36
CEM,B,3,B:3,BL-R,15/31_C6,13,15/31_C6:13,CEM power feed,HIGH,,36
CEM,B,4,B:4,BL-Y,10/2A,2,10/2A:2,R-h low beam (Bi-Xenon),HIGH,via 54/23:3,37
CEM,B,5,B:5,SB,53/301,,53/301,Sensor ground junction,HIGH,,37
CEM,B,7,B:7,BL-W,10/1A,2,10/1A:2,L-h low beam (Bi-Xenon),HIGH,via 54/22:3,37
CEM,B,8,B:8,BL-GN,10/1A,6,10/1A:6,L-h daytime running light,HIGH,via 54/22:4,37
CEM,B,9,B:9,BL-P,10/2A,6,10/2A:6,R-h daytime running light,HIGH,via 54/23:4,37
CEM,B,10,B:10,VO-W,54/9,5,54/9:5,F10 output (W/O Electronic Power Steering (ECPS) variant),HIGH,W/O ECPS marking — likely NOT used on S60R (S60R has ECPS),37
CEM,B,11,B:11,R,3/9,1,3/9:1,Brake light contact pin 1,HIGH,F9 fuse-protected,37
CEM,B,15,B:15,R-SB,16/10/16/11,,16/10/16/11,Horn 1 + Horn 2 trigger,HIGH,common via 54/4 pins 1/2,36
CEM,B,16,B:16,R,15/31_C6,12,15/31_C6:12,CEM power feed (horn power),HIGH,via 11B/20 or 11B/21 fuse,36
CEM,B,17,B:17,P,10/5,1,10/5:1,Front left fog light,HIGH,F17 fuse,37
CEM,B,18,B:18,P,10/6,1,10/6:1,Front right fog light,HIGH,F18 fuse,37
CEM,B,19,B:19,VO,6/3 + 6/4,2,6/3 + 6/4:2,Headlight wiper motors common power (both pin 2),HIGH,F14 fuse,37
CEM,B,20,B:20,VO-W,4/28A,35,4/28A:35,TCM pin A:35 (AUTO trans),HIGH,F21 fuse; matches TCM data; S60R AUTO,37
CEM,B,21,B:21,Y,6/127,1,6/127:1,Headlight washer pump,HIGH,,36
CEM,B,22,B:22,BL,4/16,4,4/16:4,Brake Control Module (BCM) pin 4,HIGH,F15 fuse,37
CEM,B,23,B:23,VO,53/398,,53/398,F16 output Electronic Power Steering (ECPS) power; via 53/398 to 54/22:1 and 54/23:1 (headlight common power),HIGH,ECPS marking applies to S60R,37
CEM,B,24,B:24,R-W,15/31_C4,4,15/31_C4:4,CEM power feed (from engine compartment dist box),HIGH,via 11B/17 or 11B/18 fuse,36
CEM,B,25,B:25,R,16/35,1,16/35:1,Siren Control Module pin 1,HIGH,F8 fuse,37
CEM,B,27,B:27,BL,10/1A,1,10/1A:1,L-h high beam (Bi-Xenon path),HIGH,F22; via 54/22:7; S60/Bi-X path,37
CEM,B,28,B:28,W,10/2A,1,10/2A:1,R-h high beam (Bi-Xenon path),HIGH,F23; via 54/23:7; S60/Bi-X path,37
CEM,B,29,B:29,Y-R,6/127,2,6/127:2,Headlight washer pump,HIGH,,36
CEM,B,30,B:30,Y-SB,6/3 + 6/4,1,6/3 + 6/4:1,Headlight wiper motors common drive (both pin 1),HIGH,one CEM pin feeds both L+R wipers,37
CEM,B,31,B:31,GN,10/13/10/11/10/15,,10/13/10/11/10/15,L-front direction/parking/fender indicators,HIGH,common via 54/22:9,36
CEM,B,32,B:32,GN-W,10/14/10/12/10/16,,10/14/10/12/10/16,R-front direction/parking/fender indicators,HIGH,common via 54/23:9,36
CEM,B,35,B:35,,,,,Unknown — labeled on fog lights page,LOW,pin label visible at CEM block but wire color/destination not clearly readable,65
CEM,B,47,B:47,,,,,Unknown — labeled on reversing lights page,LOW,pin label visible but wire color/destination unclear,67
CEM,B,50,B:50,,,,,Unknown — labeled on fog lights page,LOW,pin label visible at CEM block but wire color/destination not clearly readable,65
CEM,C,1,C:1,GR-W,10/1A,5,10/1A:5,L-h headlight (Bi-Xenon) pin 5,HIGH,Bi-Xenon only; S60R has Bi-Xenon STANDARD; via 54/22:5,37
CEM,C,2,C:2,GN,10/2A,5,10/2A:5,R-h headlight (Bi-Xenon) pin 5,HIGH,Bi-Xenon only; via 54/23:5,37
CEM,C,3,C:3,Y,15/31_C5,15,15/31_C5:15,Engine bay dist box C5:15,HIGH,,37
CEM,C,4,C:4,GR,15/31_C4,8,15/31_C4:8,Engine bay dist box C4:8,HIGH,,37
CEM,C,5,C:5,GN-R,4/46,B:23,4/46:B:23,ECM connection,HIGH,matches ECM B:23,36
CEM,C,6,C:6,BL-OR,15/31_C4,12,15/31_C4:12,Engine bay dist box C4:12,HIGH,,37
CEM,C,7,C:7,GN-OR,15/31_C4,16,15/31_C4:16,Engine bay dist box C4:16,HIGH,,37
CEM,C,9,C:9,BN-W,2/64,1,2/64:1,Auxiliary light (ACC) relay,HIGH,via 54/8:2,36
CEM,C,10,C:10,Y-GN,7/5,1,7/5:1,Washer fluid level sensor pin 1,HIGH,,37
CEM,C,11,C:11,GN-BU,6/39,2,6/39:2,R-h headlight level adjustment motor,HIGH,via 54/23:6,36
CEM,C,12,C:12,GN-R,6/38,2,6/38:2,L-h headlight level adjustment motor,HIGH,via 54/22:6,36
CEM,C,14,C:14,BL-R,4/46,B:37,4/46:B:37,ECM connection,HIGH,matches ECM B:37,36
CEM,C,16,C:16,GN-W,15/31_C4,1,15/31_C4:1,Engine bay dist box C4:1,HIGH,also routes via 15/31_A1:12 to 6/26:B1 (Generator),37
CEM,C,17,C:17,GN-W,4/99,2,4/99:2,Electronic Power Steering (ECPS) control module (4/99) pin 2,HIGH,S60R has ECPS,37
CEM,C,19,C:19,W,10/1A,3,10/1A:3,L-h headlight common signal,HIGH,via 54/22:2,37
CEM,C,20,C:20,GR,10/2A,3,10/2A:3,R-h headlight common signal,HIGH,via 54/23:2,37
CEM,C,21,C:21,W,HISPEED backbone,,HISPEED backbone,HISPEED CAN backbone (ECM/TCM/ETM segment via 53/430),HIGH,twisted pair w/ C:22,40
CEM,C,22,C:22,GN,HISPEED backbone,,HISPEED backbone,HISPEED CAN backbone (via 53/431),HIGH,twisted pair w/ C:21,40
CEM,C,25,C:25,GN-SB,15/31_C5,12,15/31_C5:12,Engine bay dist box C5:12,HIGH,,37
CEM,C,28,C:28,BL-Y,8/37A,3,8/37A:3,AW55-50SN trans solenoid (S60R Geartronic),HIGH,S60R-specific path; other variant: 4T65EV5 Y-GR from 4/28A:44,36
CEM,C,31,C:31,BL-W,6/1,3,6/1:3,Windshield wiper motor pin 3,HIGH,,37
CEM,C,32,C:32,GN-W,6/26 ACM / 4/7 CPM,,6/26 ACM / 4/7 CPM,LIN bus (to Generator ACM and CPM),HIGH,via 54/9:6 and 15/31_A1:12,42
CEM,C,34,C:34,Y-GR,3/10,1,3/10:1,Reversing light contact (MAN trans only),HIGH,user note: not pinned on S60R AUTO; user will add reverse light wiring later,"36, 37"
CEM,C,35,C:35,Y-GR,4/46,B:26,4/46:B:26,ECM connection,HIGH,matches ECM B:26,36
CEM,D,1,D:1,W,10/126,2,10/126:2,R-h front courtesy lighting,HIGH,,36
CEM,D,2,D:2,W,10/125,2,10/125:2,L-h front courtesy lighting,HIGH,,36
CEM,D,3,D:3,W,10/122,2,10/122:2,L-h rear courtesy lighting (S80 only),HIGH,S80 only — not used on S60R; via 54/20:7,36
CEM,D,4,D:4,W,10/123,2,10/123:2,R-h rear courtesy lighting (S80 only),HIGH,S80 only — not used on S60R; via 54/21:7,36
CEM,D,6,D:6,SB,31/6,,31/6,CEM chassis ground (LHD),HIGH,LHD only; RHD uses 31/10. S60R LHD US market uses 31/6,37
CEM,D,7,D:7,Y,3/254,9,3/254:9,Steering Wheel Module (SWM),HIGH,,36
CEM,D,8,D:8,VO,53/408,,53/408,Power feed (junction; also feeds SRS 4/9B:27/55 and keyless 3/157:1),HIGH,,37
CEM,D,9,D:9,W,10/29,1,10/29:1,Glove compartment lighting,HIGH,,37
CEM,D,12,D:12,Y-W,9/25A,2,9/25A:2,Rear 12V outlet,HIGH,,36
CEM,D,13,D:13,GN-R,16/65,5,16/65:5,Antenna ring pin 5,HIGH,,37
CEM,D,14,D:14,Y-W,3/6,1,3/6:1,Hazard warning flasher switch,HIGH,,36
CEM,D,15,D:15,Y,3/1,S,3/1:S,Ignition switch pin S,HIGH,,37
CEM,D,16,D:16,BL-R,53/443,,53/443,Power distribution to keyless/SRS/DLC,HIGH,"53/443 also feeds 3/157, 4/9, 17/13, 16/65",36
CEM,D,17,D:17,Y,3/254,10,3/254:10,Steering Wheel Module (SWM),HIGH,,36
CEM,D,19,D:19,Y-W,16/60,17,16/60:17,Phone Module (PHM),HIGH,,36
CEM,D,20,D:20,Y-W,4/9B,2/30,4/9B:2/30,SRS module (airbag control),HIGH,,36
CEM,D,22,D:22,Y,3/6,3,3/6:3,Hazard warning flasher switch,HIGH,,36
CEM,D,23,D:23,BL-W,3/156A (AUTO) / 8/134 (MAN M66),3,3/156A (AUTO) / 8/134 (MAN M66):3,Reverse lockout solenoid trigger,HIGH,user-confirmed: same pin used on MAN and AUTO; triggers solenoid that blocks shifter from going into reverse >5mph. No repinning needed for trans swap.,36
CEM,D,24,D:24,GN-W,3/111 LSM,3,3/111 LSM:3,"LIN bus (to LSM, RHD path)",HIGH,RHD only via 54/11:12,42
CEM,D,29,D:29,BL,7/12,4,7/12:4,Solar/twilight sensor pin 4,HIGH,,37
CEM,D,30,D:30,Y,7/12,1,7/12:1,Solar/twilight sensor pin 1,HIGH,,37
CEM,D,31,D:31,W,4/68 SAS,4,4/68 SAS:4,HISPEED CAN HI (to SAS/SWM),HIGH,twisted pair w/ D:46,40
CEM,D,33,D:33,W,DLC 17/13,6,DLC 17/13:6,HISPEED CAN (to Data Link Connector (DLC) 17/13),HIGH,W = CAN HI; twisted pair w/ D:48; corrected from page 36 misreading,"36, 40"
CEM,D,34,D:34,W,5/1 DIM,8,5/1 DIM:8,LOSPEED CAN HI (to DIM),HIGH,twisted pair w/ D:49,41
CEM,D,35,D:35,W,4/58 REM/4/78 AEM,,4/58 REM/4/78 AEM,LOSPEED CAN HI (to REM+Audio Electronic Module (AEM) segment),HIGH,twisted pair w/ D:50,41
CEM,D,36,D:36,W,4/52 PSM (via 54/24:12 LHD),,4/52 PSM (via 54/24:12 LHD),LOSPEED CAN HI (to PSM),HIGH,"twisted pair w/ D:51; LHD route via 54/24, RHD via 54/25",41
CEM,D,37,D:37,W,4/9 SRS,B:24/52,4/9 SRS:B:24/52,LOSPEED CAN HI (to SRS),HIGH,twisted pair w/ D:52,41
CEM,D,38,D:38,W,4/70 UEM (via 54/13:5),,4/70 UEM (via 54/13:5),LOSPEED CAN HI (to UEM/PHM),HIGH,twisted pair w/ D:53,41
CEM,D,39,D:39,W,3/126 DDM/PDM (via 54/10:3),,3/126 DDM/PDM (via 54/10:3),LOSPEED CAN HI (DDM/PDM/AUM/Climate Control Module (CCM) segment),HIGH,twisted pair w/ D:54; routes via 54/10:3,41
CEM,D,40,D:40,W,DLC 17/13,3,DLC 17/13:3,LOSPEED CAN (to Data Link Connector (DLC) 17/13),HIGH,W = CAN HI; twisted pair w/ D:55; corrected from page 36 misreading. Confirmed via CAN data communication 1:2 page.,"36, 41"
CEM,D,41,D:41,GN-W,4/70 UEM,21,4/70 UEM:21,LIN bus (to Upper Electronic Module (UEM) and LSM),HIGH,,42
CEM,D,42,D:42,BN,7/12,5,7/12:5,Solar/twilight sensor pin 5,HIGH,,37
CEM,D,43,D:43,GN,54/36,3,54/36:3,Inline connector 54/36 pin 3,HIGH,,37
CEM,D,44,D:44,BL,54/36,1,54/36:1,Inline connector 54/36 pin 1,HIGH,,37
CEM,D,45,D:45,BN,54/36,2,54/36:2,Inline connector 54/36 pin 2,HIGH,,37
CEM,D,46,D:46,GN,4/68 SAS,3,4/68 SAS:3,HISPEED CAN LO (to SAS/SWM),HIGH,twisted pair w/ D:31,40
CEM,D,47,D:47,GN,AWD/FOUR-C segment,,AWD/FOUR-C segment,HISPEED CAN LO (AWD/FOUR-C segment),HIGH,twisted pair w/ D:33; S60R is AWD+Four-C,40
CEM,D,48,D:48,GN,DLC 17/13,14,DLC 17/13:14,HISPEED CAN (to Data Link Connector (DLC) 17/13),HIGH,GN = CAN LO; twisted pair w/ D:33; corrected,"36, 40"
CEM,D,49,D:49,GN,5/1 DIM,7,5/1 DIM:7,LOSPEED CAN LO (to DIM),HIGH,twisted pair w/ D:34,41
CEM,D,50,D:50,GN,4/58 REM/4/78 AEM,,4/58 REM/4/78 AEM,LOSPEED CAN LO (to REM+Audio Electronic Module (AEM) segment),HIGH,twisted pair w/ D:35,41
CEM,D,51,D:51,GN,4/52 PSM (via 54/24:11 LHD),,4/52 PSM (via 54/24:11 LHD),LOSPEED CAN LO (to PSM),HIGH,twisted pair w/ D:36,41
CEM,D,52,D:52,GN,4/9 SRS,B:26/54,4/9 SRS:B:26/54,LOSPEED CAN LO (to SRS),HIGH,twisted pair w/ D:37,41
CEM,D,53,D:53,GN,4/70 UEM (via 54/13:6),,4/70 UEM (via 54/13:6),LOSPEED CAN LO (to UEM/PHM),HIGH,twisted pair w/ D:38,41
CEM,D,54,D:54,GN,3/126 DDM/PDM (via 54/10:4),,3/126 DDM/PDM (via 54/10:4),LOSPEED CAN LO (DDM/PDM/AUM/Climate Control Module (CCM) segment),HIGH,twisted pair w/ D:39,41
CEM,D,55,D:55,GN,DLC 17/13,11,DLC 17/13:11,LOSPEED CAN (to Data Link Connector (DLC) 17/13),HIGH,GN = CAN LO; twisted pair w/ D:40; corrected,"36, 41"
CEM,D,56,D:56,BL,16/65,3,16/65:3,Antenna ring/ignition lighting,HIGH,,36
CEM,D,57,D:57,GR,16/65,2,16/65:2,Antenna ring/ignition lighting,HIGH,,36
CEM,D,58,D:58,GN-W,27/3 LCM / 3/254 SWM,7,27/3 LCM / 3/254 SWM:7,"LIN bus (to LCM/SWM, LHD path)",HIGH,LHD via 54/10:12; SWM pin 7,42
CEM,D,60,D:60,Y-W,3/1,50,3/1:50,Ignition switch pin 50 (start),HIGH,,37
CEM,E,A,E:A,R,54/40D,2,54/40D:2,CEM main +30 power input,HIGH,,37
CEM,E,B,E:B,R,54/40D,1,54/40D:1,CEM main +30 power input,HIGH,,37
REM,A,1,A:1,GN-BN,3/85,5,3/85:5,Rear left door power window switch pin 5,HIGH,via 54/20:8; F10 fuse,39
REM,A,2,A:2,BL,3/85,3,3/85:3,Rear left door power window switch pin 3,HIGH,via 54/20:6,39
REM,A,6,A:6,Y-R,10/19,1,10/19:1,Auxiliary brake light (S80 only),HIGH,S80 marking; via 54/13:11,39
REM,A,13,A:13,Y-R,4/56A,4,4/56A:4,CEM connection (matches CEM A:4),HIGH,,39
REM,A,14,A:14,BL,4/82,1,4/82:1,Differential Electronic Module (DEM) (4/82) pin 1 via 53/502 and 54/74:1,HIGH,F23 fuse,39
REM,A,15,A:15,R,16/16,1,16/16:1,CD changer pin 1 (or related audio),HIGH,F38 fuse,39
REM,A,16,A:16,R,16/16,1,16/16:1,16/16 (CD changer area),HIGH,F37 fuse; both A:15 and A:16 feed via 4/82:1 / 16/16:1,39
REM,A,18,A:18,GN-Y,4/56A,15,4/56A:15,CEM connection (matches CEM A:15),HIGH,,39
REM,A,19,A:19,Y,3/85,1,3/85:1,Rear left door power window switch pin 1,HIGH,via 54/20:5,39
